"Reference","MPN","Description/value","Footprint","Qty","Review note"
"R2","RC0402FR-0724KL","24k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R3","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R4","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R5","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R6","RC0402FR-074K7L","4.7k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R7","RC0402FR-074K7L","4.7k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R8","RC0402FR-07100KL","100k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R9","RC0402FR-07100KL","100k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R10","RC0402FR-07100KL","100k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R11","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R13","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R14","RC0402FR-071KL","1k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R15","RC0402FR-07100KL","100k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R16","RC0402FR-0733RL","33","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R17","RC0402FR-0733RL","33","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R18","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R19","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R20","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R21","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R22","RC0402FR-073K3L","3.3k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R23","RC0402FR-0710KL","10k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"C1","C0402C104K4RACTU","100nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C2","C0603C475K8PACTU","4.7uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C3","939113424610-T3N","100nF silicon","sicap","1","Murata BBSC silicon,100nF±15%,3.8V rated,1.2×0.7×0.4mm. Replaces ClassII ceramic at mic. Rev3.00 pads/MPN and assemblyRev1.42 checked; mask/paste registration, assembly leakage and acousticperformance needqualification."
"C4","939113424610-T3N","100nF silicon","sicap","1","Murata BBSC silicon,100nF±15%,3.8V rated,1.2×0.7×0.4mm. Replaces ClassII ceramic at mic. Rev3.00 pads/MPN and assemblyRev1.42 checked; mask/paste registration, assembly leakage and acousticperformance needqualification."
"C5","C0402C104K4RACTU","100nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C6","C0603C475K8PACTU","4.7uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C7","C0603C225K8RACTU","2.2uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C8","C0603C475K8PACTU","4.7uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C9","C0805C106K8PACTU","10uF","c0805","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C10","C0603C225K8RACTU","2.2uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C11","C0402C104K4RACTU","100nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C12","C0603C105K4RACTU","1uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C13","C0603C105K4RACTU","1uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C14","C0603C105K4RACTU","1uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C15","C0603C105K4RACTU","1uF","c0603","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C16","C0402C104K4RACTU","100nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C17","C0402C103K5RACTU","10nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C18","C0402C104K4RACTU","100nF","c0402","1","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
