"References","Quantity","ManufacturerPartNumber","Description","FootprintKey","Status","ReviewNotes"
"SW1","1","JS202011JCQN","Mechanical DPDT microphone OFF","privacy","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Center commons2,5. OFF connects2-3 and5-6. Break-before-make; verify actuator orientation on first article."
"SW2","1","KMR211NGULCLFS","Flush face record / stop","record","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","C&K KMR211 NG ULC: no groundtab, lowcurrent contacts,1.2N,0.20±0.10mm electricaltravel,1.9mm actuatorheight. A03 face0.35mm travel/.02mm restgap; returngasket/overtravel needqualification. Singlepressrecord/stop,doublepressbookmark."
"D1","1","BAT54WS-7-F","Reverse-dock Schottky","diode","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"D2","1","PESD5V0S1BA,115","Dock transient suppression","diode","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"LED1","1","LTST-C190KFKT","Amber hard recording indicator","led","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Indicator receives microphone rail power, has no independent firmware-off command."
"R1","1","RC0402FR-075K62L","5.62k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R2","1","RC0402FR-0724KL","24k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R3 R4 R5 R11 R13 R18 R19 R20 R21 R23","10","RC0402FR-0710KL","10k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R6 R7","2","RC0402FR-074K7L","4.7k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R8 R9 R10 R15","4","RC0402FR-07100KL","100k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R14","1","RC0402FR-071KL","1k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R16 R17","2","RC0402FR-0733RL","33","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"R22","1","RC0402FR-073K3L","3.3k","r0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
"C1 C5 C11 C16 C18","5","C0402C104K4RACTU","100nF","c0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C2 C6 C8","3","C0603C475K8PACTU","4.7uF","c0603","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C3 C4","2","939113424610-T3N","100nF silicon","sicap","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Murata BBSC silicon,100nF±15%,3.8V rated,1.2×0.7×0.4mm. Replaces ClassII ceramic at mic. Rev3.00 pads/MPN and assemblyRev1.42 checked; mask/paste registration, assembly leakage and acousticperformance needqualification."
"C7 C10","2","C0603C225K8RACTU","2.2uF","c0603","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C9","1","C0805C106K8PACTU","10uF","c0805","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C12 C13 C14 C15","4","C0603C105K4RACTU","1uF","c0603","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
"C17","1","C0402C103K5RACTU","10nF","c0402","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","KEMET candidate,10% tolerance;1uF/100nF16V,10nF50V,2.2uF/4.7uF10V.4.7uF is X5R; other assigned parts X7R. Verify effective capacitance at bias/temperature;10uF part remains unqualified."
